                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7447,                 3.9642,                 1.5121,                 0.1875,                   0.15,                0.12896,                0.04649,                  2.716,                 4.1211,                 2.3159,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 1.6159,                 3.7815,                 1.4142,                0.26471,                  0.225,                0.19171,                0.05907,                 2.6454,                 4.0805,                 2.3367,             0.00011898,             0.00011898,             0.00011898
                      3,                  1.602,                 3.4659,                 1.4543,                0.14894,                  0.175,                0.10582,                0.04162,                 2.6258,                 4.1718,                 2.3341,             0.00017829,             0.00017829,             0.00017829
                      4,                 1.7359,                 3.3378,                  1.485,                0.12329,                  0.225,                0.10212,                0.03727,                 2.5418,                 4.2173,                 2.3015,             0.00023506,             0.00023506,             0.00023506
                      5,                 1.6197,                 2.9168,                 1.4163,                0.09756,                    0.2,                 0.0807,                0.03184,                 2.5543,                 4.2249,                 2.3832,             0.00028928,             0.00028928,             0.00028928
                      6,                 1.5838,                 2.5731,                  1.411,                0.07865,                  0.175,                0.07613,                0.02598,                 2.6049,                 4.3284,                 2.5662,             0.00034096,             0.00034096,             0.00034096
                      7,                  1.626,                 2.5335,                 1.4859,                0.06731,                  0.175,                0.08796,                0.04114,                 2.5737,                 4.2585,                 2.6548,             0.00039009,             0.00039009,             0.00039009
                      8,                  1.525,                 2.2792,                 1.4066,                0.06767,                  0.225,                0.10841,                0.04868,                 2.5529,                 4.0731,                 2.5618,             0.00043668,             0.00043668,             0.00043668
                      9,                 1.6182,                 2.2031,                 1.4791,                0.06107,                    0.2,                0.09627,                0.04592,                 2.6069,                 4.0019,                 2.5879,             0.00048072,             0.00048072,             0.00048072
                     10,                 1.6663,                 2.0935,                 1.4805,                0.08661,                  0.275,                0.10095,                0.04027,                 2.5198,                 3.9732,                 2.5078,             0.00052222,             0.00052222,             0.00052222
                     11,                 1.4814,                 1.8052,                 1.3642,                0.38208,                  0.075,                0.08556,                0.03337,                 2.4243,                 4.0092,                 2.4872,             0.00056118,             0.00056118,             0.00056118
                     12,                 1.5283,                 1.8224,                  1.406,                0.43772,                  0.075,                0.09436,                0.03419,                 2.5306,                 3.9348,                 2.6307,             0.00055849,             0.00055849,             0.00055849
                     13,                 1.5502,                 1.7618,                 1.4231,                0.09091,                    0.4,                0.14662,                 0.0481,                 2.6366,                 3.6852,                 2.7119,             0.00055849,             0.00055849,             0.00055849
                     14,                 1.4382,                 1.5646,                 1.3634,                0.22864,                  0.175,                0.15883,                0.05171,                 2.8156,                 3.0467,                  2.907,             0.00054435,             0.00054435,             0.00054435
                     15,                 1.4129,                 1.5683,                 1.3322,                0.18443,                  0.225,                0.17152,                0.05509,                 2.8032,                 2.6902,                 2.9916,             0.00053022,             0.00053022,             0.00053022
                     16,                  1.498,                 1.5997,                  1.432,                0.20624,                   0.15,                0.11887,                0.03268,                  3.242,                  2.771,                 3.6084,             0.00051608,             0.00051608,             0.00051608
                     17,                  1.415,                 1.4516,                 1.3702,                0.21799,                  0.125,                0.09882,                0.03269,                 3.4914,                 2.8676,                 3.7908,             0.00050194,             0.00050194,             0.00050194
                     18,                 1.3956,                 1.4967,                 1.3469,                0.15621,                   0.15,                0.06754,                0.01844,                 3.5633,                 3.3389,                 3.6363,              0.0004878,              0.0004878,              0.0004878
                     19,                 1.4726,                 1.4602,                 1.4023,                0.25303,                   0.15,                0.11664,                0.03559,                 3.0932,                 2.9773,                 2.9998,             0.00047367,             0.00047367,             0.00047367
                     20,                   1.34,                 1.3643,                 1.3101,                0.53359,                    0.2,                0.22706,                0.07985,                 2.7082,                 2.5927,                 2.5831,             0.00045953,             0.00045953,             0.00045953
                     21,                 1.3714,                 1.4255,                 1.3275,                0.34313,                  0.325,                0.27707,                0.08197,                 2.6891,                 2.5285,                 2.4954,             0.00044539,             0.00044539,             0.00044539
                     22,                 1.3023,                 1.3253,                 1.2214,                0.84086,                  0.175,                0.28622,                0.08724,                 2.7021,                 2.6691,                 2.5746,             0.00043126,             0.00043126,             0.00043126
                     23,                 1.3374,                 1.3093,                 1.3023,                 0.3932,                  0.275,                0.32415,                0.10069,                 2.7225,                 2.6854,                 2.6142,             0.00041712,             0.00041712,             0.00041712
                     24,                   1.44,                 1.3829,                 1.3747,                0.32479,                  0.275,                0.25877,                0.08547,                 2.6689,                 2.6161,                 2.6518,             0.00040298,             0.00040298,             0.00040298
                     25,                 1.2704,                 1.2963,                 1.2809,                0.35847,                    0.3,                0.24451,                0.07669,                 2.6475,                 2.5622,                 2.6813,             0.00038884,             0.00038884,             0.00038884
                     26,                 1.3204,                 1.3004,                 1.3099,                0.34321,                  0.325,                 0.2569,                0.07948,                 2.6669,                 2.3713,                 2.7481,             0.00037471,             0.00037471,             0.00037471
                     27,                 1.2578,                 1.2317,                 1.2634,                0.37019,                   0.35,                0.26866,                0.08448,                 2.6847,                 2.3298,                 2.7451,             0.00036057,             0.00036057,             0.00036057
                     28,                 1.2853,                 1.1952,                 1.3166,                0.31751,                    0.3,                0.19322,                0.06593,                 2.7429,                 2.4907,                 2.7858,             0.00034643,             0.00034643,             0.00034643
                     29,                 1.2352,                 1.2111,                  1.284,                0.30332,                    0.3,                0.19497,                 0.0658,                 2.8476,                  2.611,                 2.8458,              0.0003323,              0.0003323,              0.0003323
                     30,                 1.2512,                 1.1893,                 1.2551,                0.33309,                  0.225,                0.22614,                0.08476,                 2.7767,                 2.7355,                  2.685,             0.00031816,             0.00031816,             0.00031816
                     31,                 1.1945,                 1.1318,                 1.2465,                0.29855,                  0.225,                0.22654,                0.09038,                 2.6638,                 2.6244,                 2.5717,             0.00030402,             0.00030402,             0.00030402
                     32,                 1.3359,                 1.2519,                 1.3068,                0.44135,                0.31621,                0.32284,                0.11173,                 2.5731,                 2.4842,                 2.4634,             0.00028988,             0.00028988,             0.00028988
                     33,                 1.2494,                 1.1698,                 1.2453,                0.41537,                    0.4,                0.34353,                0.11692,                 2.5995,                 2.4067,                 2.4705,             0.00027575,             0.00027575,             0.00027575
                     34,                 1.1966,                 1.1194,                 1.2326,                0.50137,                    0.4,                0.35279,                0.11189,                 2.6694,                 2.3605,                 2.5399,             0.00026161,             0.00026161,             0.00026161
                     35,                 1.2303,                 1.1693,                 1.2466,                0.56009,                   0.35,                0.35035,                0.11025,                 2.7565,                  2.415,                 2.5882,             0.00024747,             0.00024747,             0.00024747
                     36,                 1.2017,                 1.1024,                 1.2424,                0.39908,                  0.275,                0.29817,                0.09339,                  2.887,                 2.5691,                 2.7884,             0.00023334,             0.00023334,             0.00023334
                     37,                 1.2502,                 1.1795,                 1.2786,                0.42789,                  0.275,                0.28977,                0.08307,                 2.8939,                 2.6383,                 2.8176,              0.0002192,              0.0002192,              0.0002192
                     38,                 1.2341,                 1.2042,                 1.3018,                0.34813,                  0.175,                0.21622,                 0.0733,                 2.8259,                 2.6562,                  2.826,             0.00020506,             0.00020506,             0.00020506
                     39,                 1.1428,                 1.0389,                 1.2271,                 0.4016,                    0.2,                0.22153,                0.07046,                 2.7911,                 2.6471,                 2.8335,             0.00019092,             0.00019092,             0.00019092
                     40,                 1.3236,                 1.1368,                 1.3192,                0.42308,                0.25687,                0.28538,                 0.0727,                 2.7472,                 2.5862,                 2.7892,             0.00017679,             0.00017679,             0.00017679
                     41,                 1.1667,                 1.1428,                 1.2929,                0.42819,                  0.275,                0.29677,                0.08061,                 2.6966,                  2.529,                 2.7723,             0.00016265,             0.00016265,             0.00016265
                     42,                 1.1341,                 1.0686,                 1.2552,                 0.3955,                    0.3,                0.28697,                0.09101,                 2.7101,                  2.549,                 2.7647,             0.00014851,             0.00014851,             0.00014851
                     43,                 1.0955,                 1.0871,                 1.2004,                0.41431,                0.30066,                0.29028,                0.09425,                 2.7284,                 2.5407,                 2.7583,             0.00013437,             0.00013437,             0.00013437
                     44,                  1.093,                 1.0681,                 1.2293,                0.38125,                  0.325,                0.30245,                0.09926,                   2.72,                 2.4732,                  2.764,             0.00012024,             0.00012024,             0.00012024
                     45,                 1.0812,                 1.0904,                 1.2298,                0.39018,                  0.325,                0.30809,                0.10591,                 2.7054,                 2.4358,                 2.7433,              0.0001061,              0.0001061,              0.0001061
                     46,                 1.1264,                 1.0503,                 1.2637,                0.41758,                0.34075,                0.31933,                0.10128,                  2.699,                 2.4143,                   2.73,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                  1.109,                 1.0509,                 1.2191,                0.41389,                   0.35,                0.32019,                0.09805,                 2.7305,                 2.3999,                 2.7589,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                 1.0498,                 1.0471,                 1.1993,                0.40074,                   0.35,                0.31684,                 0.0882,                 2.7482,                 2.3535,                 2.8153,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                 1.0618,                  1.036,                 1.2182,                0.44258,                   0.35,                0.32322,                0.08829,                 2.7698,                 2.3321,                 2.8298,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                   1.02,                0.94671,                 1.1621,                0.43016,                   0.35,                0.30981,                0.08479,                 2.8053,                 2.2877,                 2.8662,             3.5414e-05,             3.5414e-05,             3.5414e-05
